ACFT_ID;Profile_ID;Step Number;Step Type;Flap_ID;Start Altitude(ft);Start CAS (kt);Descent Angle (deg);Touchdown Roll (ft);Distance (ft);Start Thrust
A320-232;DEFAULT;11;Decelerate;;;30.0;;;0;10.0
A321-232;DEFAULT;1;Descend-Idle;;6000.0;250.0;3.1;;;
A321-232;DEFAULT;2;Level-Idle;;3000.0;250.0;;;14717.8;
A321-232;DEFAULT;3;Level-Idle;;3000.0;211.2;;;6135.2;
A321-232;DEFAULT;4;Descend-Idle;;3000.0;191.6;3.0;;;
A321-232;DEFAULT;5;Descend-Idle;;2530.0;175.2;3.0;;;
A321-232;DEFAULT;6;Descend-Idle;;2133.0;149.8;3.0;;;
A321-232;DEFAULT;7;Descend;FULL_D;2003.0;138.5;3.0;;;
A321-232;DEFAULT;8;Descend;FULL_D;50.0;138.5;3.0;;;
A321-232;DEFAULT;9;Land;FULL_D;;;;345.2;;
A321-232;DEFAULT;10;Decelerate;;;135.5;;;3106.8;40.0
A321-232;DEFAULT;11;Decelerate;;;30.0;;;0;10.0
A330-301;DEFAULT;1;Descend-Idle;;6000.0;250.0;3.1;;;
A330-301;DEFAULT;2;Level-Idle;;3000.0;250.0;;;19547.2;
A330-301;DEFAULT;3;Level-Idle;;3000.0;200.9;;;10029.5;
A330-301;DEFAULT;4;Descend-Idle;;3000.0;166.0;3.0;;;
A330-301;DEFAULT;5;Descend-Idle;;2547.0;154.0;3.0;;;
A330-301;DEFAULT;6;Descend-Idle;;2292.0;140.5;3.0;;;
A330-301;DEFAULT;7;Descend;FULL_D;2144.0;130.9;3.0;;;
A330-301;DEFAULT;8;Descend;FULL_D;50.0;130.9;3.0;;;
A330-301;DEFAULT;9;Land;FULL_D;;;;210.4;;
A330-301;DEFAULT;10;Decelerate;;;127.9;;;1893.8;10.0
A330-301;DEFAULT;11;Decelerate;;;30.0;;;0;10.0
A330-343;DEFAULT;1;Descend-Idle;;6000.0;250.0;2.4;;;
A330-343;DEFAULT;2;Level-Idle;;3000.0;250.0;;;20711.9;
A330-343;DEFAULT;3;Level-Idle;;3000.0;207.9;;;11430.4;
A330-343;DEFAULT;4;Descend-Idle;;3000.0;174.4;3.0;;;
A330-343;DEFAULT;5;Descend-Idle;;2517.0;165.0;3.0;;;
A330-343;DEFAULT;6;Descend-Idle;;2431.0;161.7;3.0;;;
A330-343;DEFAULT;7;Descend-Idle;;2113.0;146.6;3.0;;;
A330-343;DEFAULT;8;Descend;FULL_D;1938.0;135.5;3.0;;;
A330-343;DEFAULT;9;Descend;FULL_D;50.0;135.5;3.0;;;
A330-343;DEFAULT;10;Land;FULL_D;;;;378.0;;
A330-343;DEFAULT;11;Decelerate;;;132.5;;;3402.6;10.0
A330-343;DEFAULT;12;Decelerate;;;30.0;;;0;10.0
A340-211;DEFAULT;1;Descend-Idle;;6000.0;250.0;3.3;;;
A340-211;DEFAULT;2;Level-Idle;;3000.0;250.0;;;14038.7;
A340-211;DEFAULT;3;Level-Idle;;3000.0;212.7;;;10866.1;
A340-211;DEFAULT;4;Descend-Idle;;3000.0;175.6;3.0;;;
A340-211;DEFAULT;5;Descend-Idle;;2471.0;160.3;3.0;;;
A340-211;DEFAULT;6;Descend-Idle;;2336.0;153.8;3.0;;;
A340-211;DEFAULT;7;Descend-Idle;;2066.0;138.5;3.0;;;
A340-211;DEFAULT;8;Descend;FULL_D;1976.0;132.1;3.0;;;
A340-211;DEFAULT;9;Descend;FULL_D;50.0;132.1;3.0;;;
A340-211;DEFAULT;10;Land;FULL_D;;;;381.8;;
A340-211;DEFAULT;11;Decelerate;;;129.1;;;3436.6;10.0
A340-211;DEFAULT;12;Decelerate;;;30.0;;;0;10.0
A340-642;DEFAULT;1;Descend-Idle;;6000.0;250.0;2.8;;;
A340-642;DEFAULT;2;Level-Idle;;3000.0;250.0;;;15853.0;
A340-642;DEFAULT;3;Level-Idle;;3000.0;212.1;;;9839.2;
A340-642;DEFAULT;4;Descend-Idle;;3000.0;188.5;3.0;;;
A340-642;DEFAULT;5;Descend-Idle;;2333.0;178.1;3.0;;;
A340-642;DEFAULT;6;Descend-Idle;;2191.0;173.2;3.0;;;
A340-642;DEFAULT;7;Descend-Idle;;1805.0;155.5;3.0;;;
A340-642;DEFAULT;8;Descend;FULL_D;1650.0;147.8;3.0;;;
A340-642;DEFAULT;9;Descend;FULL_D;50.0;147.8;3.0;;;
A340-642;DEFAULT;10;Land;FULL_D;;;;280.7;;
A340-642;DEFAULT;11;Decelerate;;;144.8;;;2526.5;10.0
A340-642;DEFAULT;12;Decelerate;;;30.0;;;0;10.0
A350-941;DEFAULT1;1;Descend-Idle;A_ZERO;6000.0;250.0;2.7;;;
A350-941;DEFAULT1;2;Level-Idle;A_ZERO;3000.0;250.0;;;26122.0;
A350-941;DEFAULT1;3;Level-Idle;A_1_U;3000.0;188.6;;;6397.6;
A350-941;DEFAULT1;4;Descend-Idle;A_1_U;3000.0;168.4;3.0;;;
A350-941;DEFAULT1;5;Descend-Idle;A_2_D;2709.0;161.9;3.0;;;
A350-941;DEFAULT1;6;Descend-Idle;A_3_D;2494.0;155.2;3.0;;;
A350-941;DEFAULT1;7;Descend;A_FULL_D;2180.0;137.5;3.0;;;
A350-941;DEFAULT1;8;Descend;A_FULL_D;50.0;137.5;3.0;;;
A350-941;DEFAULT1;9;Land;A_FULL_D;;;;556.1;;
A350-941;DEFAULT1;10;Decelerate;A_FULL_D;;137.5;;;5004.9;10.0
A350-941;DEFAULT1;11;Decelerate;A_FULL_D;;30.0;;;0;10.0
A350-941;DEFAULT2;1;Descend-Idle;A_ZERO;6000.0;250.0;2.7;;;
A350-941;DEFAULT2;2;Level-Idle;A_ZERO;3000.0;250.0;;;26122.0;
A350-941;DEFAULT2;3;Level;A_1_U;3000.0;188.6;;;20219.8;
A350-941;DEFAULT2;4;Level-Idle;A_1_U;3000.0;188.6;;;6049.9;
A350-941;DEFAULT2;5;Descend-Idle;A_1_U;3000.0;168.3;3.0;;;
A350-941;DEFAULT2;6;Descend-Idle;A_2_D;2709.0;161.8;3.0;;;
A350-941;DEFAULT2;7;Descend;A_FULL_D;2180.0;137.5;3.0;;;
A350-941;DEFAULT2;8;Descend;A_FULL_D;50.0;137.5;3.0;;;
A350-941;DEFAULT2;9;Land;A_FULL_D;;;;556.1;;
A350-941;DEFAULT2;10;Decelerate;A_FULL_D;;137.5;;;5004.9;10.0
A350-941;DEFAULT2;11;Decelerate;A_FULL_D;;30.0;;;0;10.0
A380-841;DEFAULT;1;Descend-Idle;;6000.0;250.0;3.0;;;
A380-841;DEFAULT;2;Level-Idle;;3000.0;250.0;;;18044.6;
A380-841;DEFAULT;3;Level;A_1+F;3000.0;;;;11893.0;
A380-841;DEFAULT;4;Level-Idle;;3000.0;205.0;;;9691.6;
A380-841;DEFAULT;5;Descend-Idle;;3000.0;172.6;3.0;;;
A380-841;DEFAULT;6;Descend-Idle;;2446.0;161.2;3.0;;;
A380-841;DEFAULT;7;Descend;A_FULL;1976.0;136.3;3.0;;;
A380-841;DEFAULT;8;Descend;A_FULL;50.0;136.3;3.0;;;
A380-841;DEFAULT;9;Land;A_FULL;;;;636.8;;
A380-841;DEFAULT;10;Decelerate;;;136.3;;;5731.3;10.0
A380-841;DEFAULT;11;Decelerate;;;30.0;;;0;10.0
A380-861;DEFAULT;1;Descend-Idle;;6000.0;250.0;2.7;;;
A380-861;DEFAULT;2;Level-Idle;;3000.0;250.0;;;20036.1;
A380-861;DEFAULT;3;Level;A_1+F;3000.0;;;;11896.0;
A380-861;DEFAULT;4;Level-Idle;;3000.0;205.0;;;10213.0;
A380-861;DEFAULT;5;Descend-Idle;;3000.0;172.6;3.0;;;
A380-861;DEFAULT;6;Descend-Idle;;2445.0;161.2;3.0;;;
A380-861;DEFAULT;7;Descend;A_FULL;1976.0;136.3;3.0;;;
A380-861;DEFAULT;8;Descend;A_FULL;50.0;136.3;3.0;;;
A380-861;DEFAULT;9;Land;A_FULL;;;;636.8;;
A380-861;DEFAULT;10;Decelerate;;;136.3;;;5731.3;10.0
A380-861;DEFAULT;11;Decelerate;;;30.0;;;0;10.0
ATR72;DEFAULT;1;Descend;ZERO-A;6000.0;238.0;3.0;;;
ATR72;DEFAULT;2;Level-Decel;ZERO-A;3000.0;238.0;;;17085.0;
ATR72;DEFAULT;3;Level-Decel;15-A-G;3000.0;158.3;;;3236.0;
ATR72;DEFAULT;4;Level ;15-A-G;3000.0;139.0;;;3521.0;
ATR72;DEFAULT;5;Level;33-A-G;3000.0;139.0;;;3522.0;
ATR72;DEFAULT;6;Descend-Decel;33-A-G;3000.0;139.0;3.0;;;
ATR72;DEFAULT;7;Descend;33-A-G;2802.0;117.1;3.0;;;
ATR72;DEFAULT;8;Descend;33-A-G;50.0;117.1;3.0;;;
ATR72;DEFAULT;9;Land;33-A-G;;;;50.0;;
ATR72;DEFAULT;10;Decelerate;33-A-G;;114.2;;;1218.0;75.9
ATR72;DEFAULT;11;Decelerate;33-A-G;;30.0;;;0;5.7
BAC111;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
BAC111;DEFAULT;2;Descend;INT1;3000.0;153.3;3.0;;;
BAC111;DEFAULT;3;Descend;U-INT;1500.0;143.3;3.0;;;
BAC111;DEFAULT;4;Descend;D-45;1000.0;133.3;3.0;;;
BAC111;DEFAULT;5;Land;D-45;;;;305.0;;
BAC111;DEFAULT;6;Decelerate;;;126.5;;;2745.0;40.0
BAC111;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
BAE146;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
BAE146;DEFAULT;2;Descend;18;3000.0;180.0;3.0;;;
BAE146;DEFAULT;3;Descend;D-24;1500.0;166.5;3.0;;;
BAE146;DEFAULT;4;Descend;D-33;1000.0;123.0;3.0;;;
BAE146;DEFAULT;5;Land;D-33;;;;243.9;;
BAE146;DEFAULT;6;Decelerate;;;116.7;;;2195.1;40.0
BAE146;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
BAE300;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
BAE300;DEFAULT;2;Descend;18;3000.0;180.0;3.0;;;
BAE300;DEFAULT;3;Descend;D-24;1500.0;167.0;3.0;;;
BAE300;DEFAULT;4;Descend;D-33;1000.0;124.4;3.0;;;
BAE300;DEFAULT;5;Land;D-33;;;;261.0;;
BAE300;DEFAULT;6;Decelerate;;;118.0;;;2349.0;40.0
BAE300;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
BEC58P;DEFAULT;1;Descend;ZERO;6000.0;130.0;5.0;;;
BEC58P;DEFAULT;2;Descend;TO;3000.0;119.0;5.0;;;
BEC58P;DEFAULT;3;Descend;D-15;1500.0;109.0;5.0;;;
BEC58P;DEFAULT;4;Descend;D-30;1000.0;99.0;5.0;;;
BEC58P;DEFAULT;5;Land;D-30;;;;188.8;;
BEC58P;DEFAULT;6;Decelerate;;;93.9;;;1699.2;40.0
BEC58P;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
BEC58P;STD_3DEG;1;Descend;ZERO;6000.0;130.0;3.0;;;
BEC58P;STD_3DEG;2;Descend;TO;3000.0;119.0;3.0;;;
BEC58P;STD_3DEG;3;Descend;D-15;1500.0;109.0;3.0;;;
BEC58P;STD_3DEG;4;Descend;D-30;1000.0;99.0;3.0;;;
BEC58P;STD_3DEG;5;Land;D-30;;;;188.8;;
BEC58P;STD_3DEG;6;Decelerate;;;93.9;;;1699.2;40.0
BEC58P;STD_3DEG;7;Decelerate;;;30.0;;;0;10.0
BEC58P;STD_5DEG;1;Descend;ZERO;6000.0;130.0;5.0;;;
BEC58P;STD_5DEG;2;Descend;TO;3000.0;119.0;5.0;;;
BEC58P;STD_5DEG;3;Descend;D-15;1500.0;109.0;5.0;;;
BEC58P;STD_5DEG;4;Descend;D-30;1000.0;99.0;5.0;;;
BEC58P;STD_5DEG;5;Land;D-30;;;;188.8;;
BEC58P;STD_5DEG;6;Decelerate;;;93.9;;;1699.2;40.0
BEC58P;STD_5DEG;7;Decelerate;;;30.0;;;0;10.0
C130;DEFAULT;1;Descend;ZERO;6000.0;200.0;3.0;;;
C130;DEFAULT;2;Descend;ZERO;3000.0;165.8;3.0;;;
C130;DEFAULT;3;Descend;U-INTR;1500.0;145.8;3.0;;;
C130;DEFAULT;4;Descend;D-35;1000.0;135.8;3.0;;;
C130;DEFAULT;5;Land;D-35;;;;341.1;;
C130;DEFAULT;6;Decelerate;;;128.9;;;3069.9;40.0
C130;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
C130E;DEFAULT;1;Descend;ZERO;6000.0;200.0;3.0;;;
C130E;DEFAULT;2;Descend;ZERO;3000.0;163.3;3.0;;;
C130E;DEFAULT;3;Descend;U-INTR;1500.0;143.3;3.0;;;
C130E;DEFAULT;4;Descend;D-35;1000.0;133.3;3.0;;;
C130E;DEFAULT;5;Land;D-35;;;;324.9;;
C130E;DEFAULT;6;Decelerate;;;126.5;;;2924.1;40.0
C130E;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CIT3;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
CIT3;DEFAULT;2;Descend;10;3000.0;139.5;3.0;;;
CIT3;DEFAULT;3;Descend;D-INTR;1500.0;129.5;3.0;;;
CIT3;DEFAULT;4;Descend;D-40;1000.0;119.5;3.0;;;
CIT3;DEFAULT;5;Land;D-40;;;;153.9;;
CIT3;DEFAULT;6;Decelerate;;;113.4;;;1385.1;40.0
CIT3;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CL600;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
CL600;DEFAULT;2;Descend;10;3000.0;152.1;3.0;;;
CL600;DEFAULT;3;Descend;D-INTR;1500.0;142.1;3.0;;;
CL600;DEFAULT;4;Descend;D-45;1000.0;132.1;3.0;;;
CL600;DEFAULT;5;Land;D-45;;;;201.6;;
CL600;DEFAULT;6;Decelerate;;;125.3;;;1814.4;40.0
CL600;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CL601;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
CL601;DEFAULT;2;Descend;10;3000.0;158.5;3.0;;;
CL601;DEFAULT;3;Descend;D-INTR;1500.0;148.5;3.0;;;
CL601;DEFAULT;4;Descend;D-45;1000.0;138.5;3.0;;;
CL601;DEFAULT;5;Land;D-45;;;;224.1;;
CL601;DEFAULT;6;Decelerate;;;131.4;;;2016.9;40.0
CL601;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CNA172;DEFAULT;1;Descend;ZERO-D;6000.0;100.0;3.0;;;
CNA172;DEFAULT;2;Descend;ZERO-D;4000.0;100.0;3.0;;;
CNA172;DEFAULT;3;Descend;ZERO-D;3000.0;80.0;3.0;;;
CNA172;DEFAULT;4;Descend;10-D;1000.0;80.0;3.0;;;
CNA172;DEFAULT;5;Descend;10-D;600.0;80.0;3.0;;;
CNA172;DEFAULT;6;Descend;10-D;500.0;70.0;3.0;;;
CNA172;DEFAULT;7;Land;10-D;;;;30.0;;
CNA172;DEFAULT;8;Decelerate;;;62.0;;;530.0;10.0
CNA172;DEFAULT;9;Decelerate;;;10.0;;;0;10.0
CNA182;DEFAULT;1;Descend;ZERO-A;6000.0;110.0;3.0;;;
CNA182;DEFAULT;2;Descend;ZERO-A;4000.0;90.0;3.0;;;
CNA182;DEFAULT;3;Descend;ZERO-A;2000.0;70.0;3.0;;;
CNA182;DEFAULT;4;Descend;F10APP;1000.0;70.0;3.0;;;
CNA182;DEFAULT;5;Descend;F30APP;500.0;65.0;3.0;;;
CNA182;DEFAULT;6;Land;F30APP;;;;30.0;;
CNA182;DEFAULT;7;Decelerate;;;65.0;;;560.0;10.0
CNA182;DEFAULT;8;Decelerate;;;10.0;;;0;10.0
CNA208;DEFAULT;1;Descend;ZERO-A;6000.0;140.0;3.0;;;
CNA208;DEFAULT;2;Descend;ZERO-A;4000.0;124.0;3.0;;;
CNA208;DEFAULT;3;Descend;ZERO-A;2000.0;108.0;3.0;;;
CNA208;DEFAULT;4;Descend;F30APP;1000.0;100.0;3.0;;;
CNA208;DEFAULT;5;Descend;F30APP;500.0;80.0;3.0;;;
CNA208;DEFAULT;6;Land;F30APP;;;;100.0;;
CNA208;DEFAULT;7;Decelerate;;;78.0;;;815.0;10.0
CNA208;DEFAULT;8;Decelerate;;;30.0;;;0;10.0
CNA441;DEFAULT;1;Descend;ZERO;6000.0;160.0;3.0;;;
CNA441;DEFAULT;2;Descend;TO;3000.0;113.9;3.0;;;
CNA441;DEFAULT;3;Descend;D-INTR;1500.0;103.9;3.0;;;
CNA441;DEFAULT;4;Descend;D-L;1000.0;93.9;3.0;;;
CNA441;DEFAULT;5;Land;D-L;;;;79.1;;
CNA441;DEFAULT;6;Decelerate;;;89.1;;;711.9;40.0
CNA441;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CNA500;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
CNA500;DEFAULT;2;Descend;1;3000.0;131.3;3.0;;;
CNA500;DEFAULT;3;Descend;D-INTR;1500.0;121.3;3.0;;;
CNA500;DEFAULT;4;Descend;D-35;1000.0;111.3;3.0;;;
CNA500;DEFAULT;5;Land;D-35;;;;179.1;;
CNA500;DEFAULT;6;Decelerate;;;105.6;;;1611.9;40.0
CNA500;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CNA510;DEFAULT;1;Descend;ZERO_C;6000.0;250.0;3.0;;;
CNA510;DEFAULT;2;Descend;ZERO_C;3000.0;160.0;3.0;;;
CNA510;DEFAULT;3;Descend;A_15;1500.0;91.1;3.0;;;
CNA510;DEFAULT;4;Descend;A_35;1000.0;85.1;3.0;;;
CNA510;DEFAULT;5;Land;A_35;;;;175.5;;
CNA510;DEFAULT;6;Decelerate;;;78.1;;;1579.5;40.0
CNA510;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CNA525C;DEFAULT;1;Descend;ZERO_C;6000.0;250.0;3.0;;;
CNA525C;DEFAULT;2;Descend;ZERO_C;3000.0;130.0;3.0;;;
CNA525C;DEFAULT;3;Descend;A_15;1500.0;119.7;3.0;;;
CNA525C;DEFAULT;4;Descend;A_35;1000.0;111.8;3.0;;;
CNA525C;DEFAULT;5;Land;A_35;;;;200.0;;
CNA525C;DEFAULT;6;Decelerate;;;115.0;;;1500.0;40.0
CNA525C;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CNA55B;DEFAULT;1;Descend;ZERO_C;6000.0;250.0;3.0;;;
CNA55B;DEFAULT;2;Descend;ZERO_C;3000.0;160.0;3.0;;;
CNA55B;DEFAULT;3;Descend;A_15;1500.0;111.8;3.0;;;
CNA55B;DEFAULT;4;Descend;A_35;1000.0;105.3;3.0;;;
CNA55B;DEFAULT;5;Land;A_35;;;;175.5;;
CNA55B;DEFAULT;6;Decelerate;;;100.0;;;1580.0;40.0
CNA55B;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CNA560E;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
CNA560E;DEFAULT;2;Descend;15 U;3000.0;107.5;3.0;;;
CNA560E;DEFAULT;3;Descend;35 D;1500.0;101.8;3.0;;;
CNA560E;DEFAULT;4;Descend;35 D;1000.0;101.8;3.0;;;
CNA560E;DEFAULT;5;Land;35 D;;;;200.0;;
CNA560E;DEFAULT;6;Decelerate;;;100.0;;;1000.0;60.0
CNA560E;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CNA560U;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
CNA560U;DEFAULT;2;Descend;7;3000.0;120.0;3.0;;;
CNA560U;DEFAULT;3;Descend;D 15;1500.0;110.0;3.0;;;
CNA560U;DEFAULT;4;Descend;D 35;1000.0;101.8;3.0;;;
CNA560U;DEFAULT;5;Land;D 35;;;;175.0;;
CNA560U;DEFAULT;6;Decelerate;;;93.0;;;1385.1;60.0
CNA560U;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CNA560XL;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
CNA560XL;DEFAULT;2;Descend;ZERO;3000.0;132.0;3.0;;;
CNA560XL;DEFAULT;3;Descend;D 15U;1500.0;122.0;3.0;;;
CNA560XL;DEFAULT;4;Descend;D 35D;1000.0;112.0;3.0;;;
CNA560XL;DEFAULT;5;Land;D 35D;;;;500.0;;
CNA560XL;DEFAULT;6;Decelerate;;;108.0;;;2700.0;60.0
CNA560XL;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CNA680;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
CNA680;DEFAULT;2;Descend;ZERO;3000.0;160.0;3.0;;;
CNA680;DEFAULT;3;Descend;15 GU;1500.0;112.0;3.0;;;
CNA680;DEFAULT;4;Descend;35 GD;1000.0;105.0;3.0;;;
CNA680;DEFAULT;5;Land;35 GD;;;;200.0;;
CNA680;DEFAULT;6;Decelerate;;;100.0;;;1580.0;60.0
CNA680;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CNA750;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
CNA750;DEFAULT;2;Descend;15_GU;3000.0;127.4;3.0;;;
CNA750;DEFAULT;3;Descend;35_GD;1500.0;120.9;3.0;;;
CNA750;DEFAULT;4;Descend;35_GD;1000.0;120.9;3.0;;;
CNA750;DEFAULT;5;Land;35_GD;;;;200.0;;
CNA750;DEFAULT;6;Decelerate;;;115.0;;;1500.0;40.0
CNA750;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CNA750;FLAP_15;1;Descend;ZERO;6000.0;250.0;3.0;;;
CNA750;FLAP_15;2;Descend;15_GU;3000.0;127.4;3.0;;;
CNA750;FLAP_15;3;Descend;35_GD;1500.0;120.9;3.0;;;
CNA750;FLAP_15;4;Descend;35_GD;1000.0;120.9;3.0;;;
CNA750;FLAP_15;5;Land;35_GD;;;;200.0;;
CNA750;FLAP_15;6;Decelerate;;;115.0;;;1500.0;40.0
CNA750;FLAP_15;7;Decelerate;;;30.0;;;0;10.0
CNA750;FLAP_5;1;Descend;ZERO;6000.0;250.0;3.0;;;
CNA750;FLAP_5;2;Descend;5_GU;3000.0;135.2;3.0;;;
CNA750;FLAP_5;3;Descend;15_GD;1500.0;127.4;3.0;;;
CNA750;FLAP_5;4;Descend;15_GD;1000.0;127.4;3.0;;;
CNA750;FLAP_5;5;Land;15_GD;;;;200.0;;
CNA750;FLAP_5;6;Decelerate;;;115.0;;;1500.0;40.0
CNA750;FLAP_5;7;Decelerate;;;30.0;;;0;10.0
CONCRD;DEFAULT;1;Descend;CL1;6000.0;250.0;3.0;;;
CONCRD;DEFAULT;2;Descend;ZERO;3000.0;194.0;3.0;;;
CONCRD;DEFAULT;3;Descend;U-L;1500.0;184.0;3.0;;;
CONCRD;DEFAULT;4;Descend;D-L;1000.0;164.0;3.0;;;
CONCRD;DEFAULT;5;Land;D-L;;;;858.6;;
CONCRD;DEFAULT;6;Decelerate;;;155.5;;;7727.4;40.0
CONCRD;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CRJ9-ER;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
CRJ9-ER;DEFAULT;2;Descend;20;3500.0;170.0;3.0;;;
CRJ9-ER;DEFAULT;3;Descend;U-45;1500.0;160.0;3.0;;;
CRJ9-ER;DEFAULT;4;Descend;D-45;1000.0;140.0;3.0;;;
CRJ9-ER;DEFAULT;5;Land;D-45;;;;415.8;;
CRJ9-ER;DEFAULT;6;Decelerate;;;143.0;;;2528.0;10.0
CRJ9-ER;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CRJ9-LR;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
CRJ9-LR;DEFAULT;2;Descend;20;3500.0;170.0;3.0;;;
CRJ9-LR;DEFAULT;3;Descend;U-45;1500.0;160.0;3.0;;;
CRJ9-LR;DEFAULT;4;Descend;D-45;1000.0;141.0;3.0;;;
CRJ9-LR;DEFAULT;5;Land;D-45;;;;424.7;;
CRJ9-LR;DEFAULT;6;Decelerate;;;144.0;;;2577.0;10.0
CRJ9-LR;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
CVR580;DEFAULT;1;Descend;ZERO;6000.0;200.0;3.0;;;
CVR580;DEFAULT;2;Descend;INTR;3000.0;146.3;3.0;;;
CVR580;DEFAULT;3;Descend;D-28;1500.0;112.4;3.0;;;
CVR580;DEFAULT;4;Descend;D-40;1000.0;106.3;3.0;;;
CVR580;DEFAULT;5;Land;D-40;;;;287.6;;
CVR580;DEFAULT;6;Decelerate;;;100.9;;;2588.4;40.0
CVR580;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
DC1010;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
DC1010;DEFAULT;2;Descend;INT;3000.0;163.7;3.0;;;
DC1010;DEFAULT;3;Descend;U-35;1500.0;153.7;3.0;;;
DC1010;DEFAULT;4;Descend;D-35;1000.0;143.7;3.0;;;
DC1010;DEFAULT;5;Land;D-35;;;;428.4;;
DC1010;DEFAULT;6;Decelerate;;;136.3;;;3855.6;10.0
DC1010;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
DC1030;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
DC1030;DEFAULT;2;Descend;INT2;3000.0;172.6;3.0;;;
DC1030;DEFAULT;3;Descend;U-20;1500.0;162.6;3.0;;;
DC1030;DEFAULT;4;Descend;D-35;1000.0;152.6;3.0;;;
DC1030;DEFAULT;5;Land;D-35;;;;392.2;;
DC1030;DEFAULT;6;Decelerate;;;144.8;;;3529.8;10.0
DC1030;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
DC1040;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
DC1040;DEFAULT;2;Descend;5;3000.0;173.5;3.0;;;
DC1040;DEFAULT;3;Descend;U-35;1500.0;163.5;3.0;;;
DC1040;DEFAULT;4;Descend;D-35;1000.0;153.5;3.0;;;
