Spectral Class ID;Op Type;Description;L_50Hz;L_63Hz;L_80Hz;L_100Hz;L_125Hz;L_160Hz;L_200Hz;L_250Hz;L_315Hz;L_400Hz;L_500Hz;L_630Hz;L_800Hz;L_1000Hz;L_1250Hz;L_1600Hz;L_2000Hz;L_2500Hz;L_3150Hz;L_4000Hz;L_5000Hz;L_6300Hz;L_8000Hz;L_10000Hz
101;Departure                                         ;2/3-Engine.LowByPass.Tfan;59.5;61.6;62.8;73.1;80.8;78.3;72.3;75.8;75.9;73.6;71.8;71.6;72.3;70.0;68.3;66.6;64.2;61.4;58.6;54.8;50.9;45.7;43.9;40.9
102;Departure                                         ;2-Engine.HighByPass.Tfan;59.7;60.0;68.5;73.0;73.8;70.4;67.6;71.4;68.7;72.8;73.2;73.0;72.9;70.0;68.0;67.3;62.3;61.4;58.0;58.8;58.7;46.7;44.2;44.1
103;Departure                                         ;2-Engine.HighByPass.Tfan;56.7;66.1;70.1;72.8;76.6;73.0;74.5;77.0;75.3;72.2;72.2;71.2;70.2;70.0;69.6;71.1;70.6;67.1;63.4;63.5;58.2;51.5;42.3;37.7
104;Departure                                         ;2-Engine.Low/MidByPass.Tfan;57.3;56.3;61.5;67.7;71.4;73.7;67.0;72.1;73.8;74.1;71.3;70.4;70.9;70.0;68.2;67.3;63.4;60.9;56.6;53.2;47.8;40.5;31.7;27.9
105;Departure                                         ;2-Engine.HighByPass.Tfan;66.5;60.4;67.1;75.0;78.2;79.3;71.5;76.7;74.4;74.6;72.3;71.9;71.1;70.0;69.0;68.8;67.0;65.5;63.4;59.2;53.8;50.0;44.7;38.2
106;Departure                                         ;4-Engine.Tfan+Supersonic;62.5;57.4;66.9;73.7;75.5;74.0;71.4;73.4;73.4;75.7;75.8;74.1;71.6;70.0;68.9;68.2;66.4;63.5;62.5;62.5;59.2;53.7;48.1;41.2
107;Departure                                         ;4-Engine.Tfan;58.6;62.7;69.1;74.1;76.0;74.3;74.1;74.4;74.0;73.6;73.2;72.3;71.7;70.0;69.1;69.4;69.6;73.6;67.7;63.1;58.3;51.5;44.2;34.7
108;Departure                                         ;4-Engine.Tfan;66.2;66.2;66.2;72.2;80.8;67.9;67.6;72.0;70.0;70.7;71.1;68.9;71.1;70.0;68.3;67.5;65.4;63.6;63.9;64.8;62.1;59.3;54.6;47.3
109;Departure                                         ;2-Engine.Tprop+1/2-Engine.Piston;64.7;67.1;73.1;89.4;84.5;76.3;89.3;80.7;79.3;79.3;81.6;80.3;76.4;70.0;65.0;61.9;59.8;57.3;55.6;52.7;50.9;44.8;36.3;28.4
110;Departure                                         ;2-Engine.Tprop+4-Engine.Piston;71.4;69.9;79.9;87.4;76.5;80.9;86.2;86.0;85.6;81.2;76.8;74.5;73.2;70.0;69.5;69.2;67.2;65.4;63.2;60.2;58.4;62.3;55.4;29.0
111;Departure                                         ;2-Engine.Tprop;78.0;76.0;90.0;103.0;82.0;85.0;97.0;89.0;94.0;80.0;79.0;79.0;75.0;70.0;68.0;64.0;62.0;58.0;57.0;53.0;48.0;43.0;38.0;33.0
112;Departure                                         ;2/4-Engine.Tprop;74.0;95.0;92.0;75.0;96.0;90.0;74.9;78.0;75.0;75.0;74.1;74.0;72.0;70.0;71.0;72.0;71.0;70.0;66.0;64.0;60.0;54.0;46.0;39.9
113;Departure                                         ;2-Engine.Tjet+Tfan.Business;58.5;57.9;60.7;67.0;71.2;72.6;70.3;72.7;72.9;73.5;72.8;72.0;71.3;70.0;68.9;67.1;64.5;63.0;60.2;55.8;52.1;45.1;38.8;29.6
136;Departure                                         ;2-Engine.Tfan.Business;59.7;60.0;68.5;73.0;73.8;70.4;67.6;71.4;68.7;72.8;73.2;73.0;72.9;70.0;68.0;67.3;62.3;61.4;58.0;58.8;58.7;46.7;44.2;44.1
137;Departure                                         ;2-Engine.Tfan.Business;58.6;62.7;69.1;74.1;76.0;74.3;74.1;74.4;74.0;73.6;73.2;72.3;71.7;70.0;69.1;69.4;69.6;73.6;67.7;63.1;58.3;51.5;44.2;34.7
138;Departure                                         ;2-Engine.Tfan.Business;66.2;66.2;66.2;72.2;80.8;67.9;67.6;72.0;70.0;70.7;71.1;68.9;71.1;70.0;68.3;67.5;65.4;63.6;63.9;64.8;62.1;59.3;54.6;47.3
139;Departure                                         ;2-Engine.HighByPass.Tfan;71.4;67.4;59.1;69.3;75.3;76.7;72.6;69.3;76.4;71.2;71.8;71.0;73.4;70.0;68.7;68.1;67.8;66.3;65.2;63.7;66.1;56.6;50.1;42.1
140;Departure                                         ;2-Engine.Tprop;63.5;62.8;71.0;87.4;78.5;76.8;74.6;77.4;79.8;74.3;75.4;75.3;71.5;70.0;67.7;67.2;66.5;65.3;63.1;60.0;55.6;53.6;48.7;40.3
201;Approach                                          ;2/3-Engine.LowByPass.Tfan;64.9;65.5;66.2;66.7;73.0;77.6;74.8;70.7;76.6;72.5;74.4;73.6;70.9;70.0;69.2;67.8;66.5;68.0;63.0;60.0;57.6;56.3;54.6;45.8
202;Approach                                          ;2-Engine.Low/HighByPass.Tfan;68.5;68.5;68.5;68.4;68.5;70.9;73.3;67.3;72.6;72.5;72.1;75.4;75.4;70.0;68.9;68.3;65.8;64.7;63.5;62.1;60.2;57.8;48.6;38.8
203;Approach                                          ;2-Engine.HighByPass.Tfan+Business;67.3;68.9;69.6;70.0;70.2;74.0;74.7;73.1;71.3;74.1;72.9;73.1;71.6;70.0;70.4;67.4;67.4;70.8;69.7;72.1;64.2;56.4;49.6;38.9
204;Approach                                          ;2-Engine.Low/MidByPass.Tfan;58.8;57.1;59.4;68.0;72.8;73.7;69.1;72.3;74.8;75.6;73.6;72.1;72.1;70.0;66.3;63.6;59.9;57.5;54.8;51.8;48.8;45.8;42.8;39.8
205;Approach                                          ;2-Engine.HighByPass.Tfan;68.3;60.7;64.6;67.4;78.4;74.8;71.4;72.4;72.0;72.4;71.6;72.0;71.0;70.0;68.9;67.2;65.8;64.4;63.0;62.0;60.6;54.4;48.5;39.0
206;Approach                                          ;4-Engine.Tjet+Tfan;63.3;65.4;64.1;63.2;66.0;66.6;69.6;70.1;71.5;67.1;71.0;70.4;71.8;70.0;69.6;66.6;62.9;62.0;62.7;59.1;58.8;53.3;50.2;40.6
207;Approach                                          ;4-Engine.Tfan;67.0;61.1;62.7;64.1;70.4;74.4;71.8;68.4;76.3;72.3;73.5;71.2;70.5;70.0;68.7;67.1;67.5;69.4;71.1;72.5;65.7;59.3;52.2;45.6
208;Approach                                          ;4-Engine.Tjet+Tfan;66.7;65.0;61.7;65.4;72.9;76.2;73.0;68.1;72.7;70.7;72.1;70.1;69.0;70.0;70.9;70.2;70.6;81.3;73.7;62.8;62.6;56.0;49.6;37.9
209;Approach                                          ;4-Engine.Tfan;60.0;59.0;60.0;69.0;71.0;70.0;69.0;69.0;69.0;69.0;70.0;69.0;69.0;70.0;72.0;77.0;72.0;72.0;70.0;66.0;63.0;57.0;49.0;38.0
210;Approach                                          ;2-Engine.Tprop;65.0;70.0;65.0;72.0;77.0;68.0;78.0;85.0;86.0;79.0;73.0;76.0;71.0;70.0;68.0;68.0;65.0;63.0;60.0;56.0;53.0;52.0;42.0;28.0
211;Approach                                          ;2-Engine.Tprop;71.3;65.4;74.7;88.1;77.1;80.3;86.9;80.0;86.8;78.2;75.5;75.2;71.6;70.0;70.7;69.6;68.6;67.5;67.0;63.9;59.9;53.0;45.7;40.0
212;Approach                                          ;2-Engine.Tprop;72.0;68.0;79.0;71.0;73.0;84.0;74.0;75.0;73.0;72.0;71.0;77.0;73.0;70.0;77.0;75.0;72.0;70.0;71.0;83.0;75.0;57.0;54.0;45.0
213;Approach                                          ;4-Engine.Tprop+Piston;64.0;73.0;76.0;71.0;82.0;83.0;67.0;71.0;70.0;69.0;69.0;68.0;67.0;70.0;69.0;67.0;64.0;60.0;57.0;54.0;49.0;42.0;32.0;20.0
214;Approach                                          ;2/4-Engine.Tprop;61.8;69.8;61.8;58.8;67.8;70.8;62.8;59.8;62.8;60.8;60.8;59.8;60.8;70.0;67.8;61.8;59.8;56.8;52.8;49.8;47.8;45.8;35.8;27.8
215;Approach                                          ;1/2-Engine.Piston;83.0;98.0;83.0;79.0;91.0;80.0;85.0;76.0;75.0;73.0;72.0;73.0;71.0;70.0;68.0;66.0;65.0;64.0;60.0;57.0;53.0;49.0;43.0;32.0
216;Approach                                          ;2-Engine.Tjet+Tfan;68.0;63.1;64.7;71.2;74.3;75.0;70.3;72.6;72.1;73.3;71.3;70.7;70.3;70.0;69.3;68.0;67.8;66.3;64.4;62.0;57.2;52.2;43.5;33.1
234;Approach                                          ;Military;56.3;77.3;80.3;74.2;74.3;70.2;72.2;69.3;69.1;71.2;69.1;72.1;69.1;70.0;69.9;67.7;67.4;65.1;63.7;61.4;55.3;49.1;42.9;33.5
235;Approach                                          ;2-Engine.Tfan.Business;67.3;68.9;69.6;70.0;70.2;74.0;74.7;73.1;71.3;74.1;72.9;73.1;71.6;70.0;70.4;67.4;67.4;70.8;69.7;72.1;64.2;56.4;49.6;38.9
236;Approach                                          ;2-Engine.Tfan.Business;63.3;65.4;64.1;63.2;66.0;66.6;69.6;70.1;71.4;67.1;71.0;70.4;71.8;70.0;69.5;66.6;62.9;62.0;62.7;59.1;58.8;53.3;50.2;40.6
237;Approach                                          ;2-Engine.Tfan.Business;67.0;61.1;62.7;64.1;70.4;74.4;71.8;68.4;76.3;72.3;73.5;71.2;70.5;70.0;68.7;67.1;67.5;69.4;71.1;72.5;65.7;59.3;52.2;45.6
238;Approach                                          ;2-Engine.Tfan.Business;60.0;59.0;60.0;69.0;71.0;70.0;69.0;69.0;69.0;69.0;70.0;69.0;69.0;70.0;72.0;77.0;72.0;72.0;70.0;66.0;63.0;57.0;49.0;38.0
239;Approach                                          ;2-Engine.HighByPass.Tfan;71.0;65.0;60.7;70.7;74.8;76.5;73.2;71.8;75.9;73.0;71.1;70.5;70.7;70.0;68.7;67.3;65.4;63.6;60.9;58.5;56.8;51.0;45.6;36.4
240;Approach                                          ;2-Engine.Tprop;65.9;68.0;66.9;80.0;77.1;78.5;73.9;75.6;77.7;73.6;73.3;72.7;70.9;70.0;70.7;69.9;68.7;67.2;65.1;62.8;65.4;60.5;51.9;42.5
